EMD_CD,EMD_NM,PRED_SEVERITY,RISK_LEVEL,AVG_RN1,TOTAL_RN1,AVG_WATL,AVG_ELEVATION,DONG_AREA_KM2
11170124,한강로1가,0.0,안전,0.0,0.0,0.0,14.14643720689655,0.2382902642753969
11170128,한강로3가,0.0,안전,0.0,0.0,0.0,11.408462755072463,1.1921172066155754
11170122,문배동,0.0,안전,0.0,0.0,0.0,13.206194125,0.1131709392626575
11170112,원효로1가,0.0,안전,0.0,0.0,0.0,23.67644070833333,0.2056264260648726
11170111,청파동3가,0.0,안전,0.0,0.0,0.0,31.96254448275862,0.2304194060058276
11170105,남영동,0.0,안전,0.0,0.0,0.0,16.9533405625,0.0650363791675508
11170106,용산동1가,0.0,안전,0.0,0.0,0.0,21.26994236956521,0.60562731503048
11170110,청파동2가,0.0,안전,0.0,0.0,0.0,45.06647786956521,0.2231475437342447
11170114,신창동,0.0,안전,0.0,0.0,0.0,36.31726642857143,0.0624247999051006
11170115,산천동,0.0,안전,0.0,0.0,0.0,44.80582063636364,0.0975117467632932
11170109,청파동1가,0.0,안전,0.0,0.0,0.0,51.05888036363637,0.1961393959672896
11170130,이태원동,0.0,안전,0.0,0.0,0.0,78.85250570731708,1.4388120164104854
11170136,보광동,0.0,안전,0.0,0.0,0.0,34.68768711084337,0.7124531484314844
11170108,서계동,0.0,안전,0.0,0.0,0.0,40.94913462068966,0.2508479238680652
11170134,주성동,0.0,안전,0.0,0.0,0.0,17.96966271904762,0.1721865688327598
11170133,서빙고동,0.0,안전,0.0,0.0,0.0,13.007055638043475,0.792319659582649
11200115,성수동2가,0.0,안전,0.0,0.0,0.0,11.581174073517788,2.2320919427416794
11200104,도선동,0.0,안전,0.0,0.0,0.0,25.88390653333333,0.13735573563007
11200107,행당동,0.0,안전,0.0,0.0,0.0,30.127908,1.4980067803404962
11200101,상왕십리동,0.0,안전,0.0,0.0,0.0,20.024051666666665,0.1511621214807557
11200103,홍익동,0.0,안전,0.0,0.0,0.0,23.21520333333333,0.1731797373314468
